GEO_ID,NAME,S1901_C01_001E,S1901_C01_001M,S1901_C01_002E,S1901_C01_002M,S1901_C01_003E,S1901_C01_003M,S1901_C01_004E,S1901_C01_004M,S1901_C01_005E,S1901_C01_005M,S1901_C01_006E,S1901_C01_006M,S1901_C01_007E,S1901_C01_007M,S1901_C01_008E,S1901_C01_008M,S1901_C01_009E,S1901_C01_009M,S1901_C01_010E,S1901_C01_010M,S1901_C01_011E,S1901_C01_011M,S1901_C01_012E,S1901_C01_012M,S1901_C01_013E,S1901_C01_013M,S1901_C01_014E,S1901_C01_014M,S1901_C01_015E,S1901_C01_015M,S1901_C01_016E,S1901_C01_016M,S1901_C02_001E,S1901_C02_001M,S1901_C02_002E,S1901_C02_002M,S1901_C02_003E,S1901_C02_003M,S1901_C02_004E,S1901_C02_004M,S1901_C02_005E,S1901_C02_005M,S1901_C02_006E,S1901_C02_006M,S1901_C02_007E,S1901_C02_007M,S1901_C02_008E,S1901_C02_008M,S1901_C02_009E,S1901_C02_009M,S1901_C02_010E,S1901_C02_010M,S1901_C02_011E,S1901_C02_011M,S1901_C02_012E,S1901_C02_012M,S1901_C02_013E,S1901_C02_013M,S1901_C02_014E,S1901_C02_014M,S1901_C02_015E,S1901_C02_015M,S1901_C02_016E,S1901_C02_016M,S1901_C03_001E,S1901_C03_001M,S1901_C03_002E,S1901_C03_002M,S1901_C03_003E,S1901_C03_003M,S1901_C03_004E,S1901_C03_004M,S1901_C03_005E,S1901_C03_005M,S1901_C03_006E,S1901_C03_006M,S1901_C03_007E,S1901_C03_007M,S1901_C03_008E,S1901_C03_008M,S1901_C03_009E,S1901_C03_009M,S1901_C03_010E,S1901_C03_010M,S1901_C03_011E,S1901_C03_011M,S1901_C03_012E,S1901_C03_012M,S1901_C03_013E,S1901_C03_013M,S1901_C03_014E,S1901_C03_014M,S1901_C03_015E,S1901_C03_015M,S1901_C03_016E,S1901_C03_016M,S1901_C04_001E,S1901_C04_001M,S1901_C04_002E,S1901_C04_002M,S1901_C04_003E,S1901_C04_003M,S1901_C04_004E,S1901_C04_004M,S1901_C04_005E,S1901_C04_005M,S1901_C04_006E,S1901_C04_006M,S1901_C04_007E,S1901_C04_007M,S1901_C04_008E,S1901_C04_008M,S1901_C04_009E,S1901_C04_009M,S1901_C04_010E,S1901_C04_010M,S1901_C04_011E,S1901_C04_011M,S1901_C04_012E,S1901_C04_012M,S1901_C04_013E,S1901_C04_013M,S1901_C04_014E,S1901_C04_014M,S1901_C04_015E,S1901_C04_015M,S1901_C04_016E,S1901_C04_016M
id,Geographic Area Name,Households!!Estimate!!Total,Households!!Margin of Error!!Total,"Households!!Estimate!!Less than $10,000","Households!!Margin of Error!!Less than $10,000","Households!!Estimate!!$10,000 to $14,999","Households!!Margin of Error!!$10,000 to $14,999","Households!!Estimate!!$15,000 to $24,999","Households!!Margin of Error!!$15,000 to $24,999","Households!!Estimate!!$25,000 to $34,999","Households!!Margin of Error!!$25,000 to $34,999","Households!!Estimate!!$35,000 to $49,999","Households!!Margin of Error!!$35,000 to $49,999","Households!!Estimate!!$50,000 to $74,999","Households!!Margin of Error!!$50,000 to $74,999","Households!!Estimate!!$75,000 to $99,999","Households!!Margin of Error!!$75,000 to $99,999","Households!!Estimate!!$100,000 to $149,999","Households!!Margin of Error!!$100,000 to $149,999","Households!!Estimate!!$150,000 to $199,999","Households!!Margin of Error!!$150,000 to $199,999","Households!!Estimate!!$200,000 or more","Households!!Margin of Error!!$200,000 or more",Households!!Estimate!!Median income (dollars),Households!!Margin of Error!!Median income (dollars),Households!!Estimate!!Mean income (dollars),Households!!Margin of Error!!Mean income (dollars),Households!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months,Households!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months,Households!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months,Households!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months,Households!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months,Households!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months,Families!!Estimate!!Total,Families!!Margin of Error!!Total,"Families!!Estimate!!Less than $10,000","Families!!Margin of Error!!Less than $10,000","Families!!Estimate!!$10,000 to $14,999","Families!!Margin of Error!!$10,000 to $14,999","Families!!Estimate!!$15,000 to $24,999","Families!!Margin of Error!!$15,000 to $24,999","Families!!Estimate!!$25,000 to $34,999","Families!!Margin of Error!!$25,000 to $34,999","Families!!Estimate!!$35,000 to $49,999","Families!!Margin of Error!!$35,000 to $49,999","Families!!Estimate!!$50,000 to $74,999","Families!!Margin of Error!!$50,000 to $74,999","Families!!Estimate!!$75,000 to $99,999","Families!!Margin of Error!!$75,000 to $99,999","Families!!Estimate!!$100,000 to $149,999","Families!!Margin of Error!!$100,000 to $149,999","Families!!Estimate!!$150,000 to $199,999","Families!!Margin of Error!!$150,000 to $199,999","Families!!Estimate!!$200,000 or more","Families!!Margin of Error!!$200,000 or more",Families!!Estimate!!Median income (dollars),Families!!Margin of Error!!Median income (dollars),Families!!Estimate!!Mean income (dollars),Families!!Margin of Error!!Mean income (dollars),Families!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months,Families!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months,Families!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months,Families!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months,Families!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months,Families!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months,Married-couple families!!Estimate!!Total,Married-couple families!!Margin of Error!!Total,"Married-couple families!!Estimate!!Less than $10,000","Married-couple families!!Margin of Error!!Less than $10,000","Married-couple families!!Estimate!!$10,000 to $14,999","Married-couple families!!Margin of Error!!$10,000 to $14,999","Married-couple families!!Estimate!!$15,000 to $24,999","Married-couple families!!Margin of Error!!$15,000 to $24,999","Married-couple families!!Estimate!!$25,000 to $34,999","Married-couple families!!Margin of Error!!$25,000 to $34,999","Married-couple families!!Estimate!!$35,000 to $49,999","Married-couple families!!Margin of Error!!$35,000 to $49,999","Married-couple families!!Estimate!!$50,000 to $74,999","Married-couple families!!Margin of Error!!$50,000 to $74,999","Married-couple families!!Estimate!!$75,000 to $99,999","Married-couple families!!Margin of Error!!$75,000 to $99,999","Married-couple families!!Estimate!!$100,000 to $149,999","Married-couple families!!Margin of Error!!$100,000 to $149,999","Married-couple families!!Estimate!!$150,000 to $199,999","Married-couple families!!Margin of Error!!$150,000 to $199,999","Married-couple families!!Estimate!!$200,000 or more","Married-couple families!!Margin of Error!!$200,000 or more",Married-couple families!!Estimate!!Median income (dollars),Married-couple families!!Margin of Error!!Median income (dollars),Married-couple families!!Estimate!!Mean income (dollars),Married-couple families!!Margin of Error!!Mean income (dollars),Married-couple families!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months,Married-couple families!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months,Married-couple families!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months,Married-couple families!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months,Married-couple families!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months,Married-couple families!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months,Nonfamily households!!Estimate!!Total,Nonfamily households!!Margin of Error!!Total,"Nonfamily households!!Estimate!!Less than $10,000","Nonfamily households!!Margin of Error!!Less than $10,000","Nonfamily households!!Estimate!!$10,000 to $14,999","Nonfamily households!!Margin of Error!!$10,000 to $14,999","Nonfamily households!!Estimate!!$15,000 to $24,999","Nonfamily households!!Margin of Error!!$15,000 to $24,999","Nonfamily households!!Estimate!!$25,000 to $34,999","Nonfamily households!!Margin of Error!!$25,000 to $34,999","Nonfamily households!!Estimate!!$35,000 to $49,999","Nonfamily households!!Margin of Error!!$35,000 to $49,999","Nonfamily households!!Estimate!!$50,000 to $74,999","Nonfamily households!!Margin of Error!!$50,000 to $74,999","Nonfamily households!!Estimate!!$75,000 to $99,999","Nonfamily households!!Margin of Error!!$75,000 to $99,999","Nonfamily households!!Estimate!!$100,000 to $149,999","Nonfamily households!!Margin of Error!!$100,000 to $149,999","Nonfamily households!!Estimate!!$150,000 to $199,999","Nonfamily households!!Margin of Error!!$150,000 to $199,999","Nonfamily households!!Estimate!!$200,000 or more","Nonfamily households!!Margin of Error!!$200,000 or more",Nonfamily households!!Estimate!!Median income (dollars),Nonfamily households!!Margin of Error!!Median income (dollars),Nonfamily households!!Estimate!!Mean income (dollars),Nonfamily households!!Margin of Error!!Mean income (dollars),Nonfamily households!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months,Nonfamily households!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months,Nonfamily households!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months,Nonfamily households!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months,Nonfamily households!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months,Nonfamily households!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months
1400000US19001960100,"Census Tract 9601, Adair County, Iowa",1236,72,10.6,5.1,8.2,3.4,10,3.4,10,3.6,18,4.3,18.8,4.6,12.5,5.3,8.4,3.1,1.9,1.8,1.6,1.5,43382,7056,54099,5627,23.5,(X),(X),(X),(X),(X),724,71,3.3,3.1,0.8,0.9,7.5,4,9.9,4.6,13.8,5,25.1,6.5,20.2,8,13.4,5.4,3.2,3,2.8,2.6,64444,9249,72266,8386,(X),(X),21.1,(X),(X),(X),650,72,3.4,3.4,0.9,1,4.6,3.2,8.6,4.8,13.4,5.2,26.6,7.2,22.5,8.6,14.9,5.9,2,2.5,3.1,2.8,68426,8284,N,N,(X),(X),(X),(X),(X),(X),512,83,21.3,10.3,18.6,7.7,13.7,5.6,10.2,5.2,24,7.3,9.8,5.7,1.2,1.6,1.4,1.9,0,4.3,0,4.3,19667,12126,28062,3951,(X),(X),(X),(X),26.8,(X)
1400000US19001960200,"Census Tract 9602, Adair County, Iowa",781,54,6.4,3.5,3.3,2,11.9,4.5,12.7,7.2,19.3,5.7,26.5,6.5,10.4,4,2.7,1.9,3.3,2.8,3.5,2.3,47269,5119,58647,7841,27.9,(X),(X),(X),(X),(X),544,61,1.5,1.3,1.3,1.2,9.2,5.1,5,3.1,24.1,7,33.6,7.9,12.5,5,3.9,2.8,4,3.8,5,3.2,53796,4064,69937,10387,(X),(X),25.6,(X),(X),(X),518,60,1.4,1.4,0.6,0.8,9.1,5.1,5.2,3.3,23.9,7.5,34.9,8.2,11.4,4.6,4.1,2.9,4.2,4,5.2,3.4,53981,4411,N,N,(X),(X),(X),(X),(X),(X),237,68,17.7,10.7,8.9,6.7,18.1,9.2,29.5,17.7,9.7,5.6,8.9,7.7,5.5,7.2,0,9.1,1.7,2.4,0,9.1,29063,9197,32406,6218,(X),(X),(X),(X),33.3,(X)
1400000US19001960300,"Census Tract 9603, Adair County, Iowa",1392,86,7.5,2.9,8.3,3.3,12.6,3.1,10.6,3.6,16.8,4.5,25.3,5.1,10.2,3.4,6.5,3,1.6,1.5,0.6,0.8,44583,5646,51087,4641,28.1,(X),(X),(X),(X),(X),898,70,3.8,3.2,4.5,3.3,5.6,2.7,8.8,3.7,17.4,5.9,34,7.4,13.3,5.2,9.5,4.5,2.4,2.4,0.9,1.3,55523,4432,62548,6576,(X),(X),25.8,(X),(X),(X),724,78,0,3.1,3,3.3,6.2,3.2,7.3,3.6,16.3,6.5,34.8,7.8,16.4,6.1,11.7,5.7,3,2.9,1.1,1.6,60682,7051,N,N,(X),(X),(X),(X),(X),(X),494,87,17.2,6.5,13.6,6.1,25.3,7.5,17,7.6,14.8,6.1,8.5,5.2,2.4,2.7,1.2,1.7,0,4.4,0,4.4,22400,2871,27867,3524,(X),(X),(X),(X),31.4,(X)
1400000US19003950100,"Census Tract 9501, Adams County, Iowa",690,57,5.4,3.7,2.9,2.8,12.5,5.5,8.6,4.1,24.6,6.8,27.8,7.2,5.1,2.9,7.2,4.6,1.4,1.9,4.5,3.1,46188,3516,64206,10187,33.5,(X),(X),(X),(X),(X),528,55,0.8,1.2,0.4,0.7,10.8,6.6,4.4,3.4,29.4,8.2,31.1,9.1,6.1,3.6,9.5,6,1.9,2.5,5.9,4.2,51643,4837,74748,13426,(X),(X),33,(X),(X),(X),493,57,0.2,0.8,0.4,0.7,11.6,7,4.5,3.5,29.6,8.4,29.2,9.2,6.1,4,10.1,6.5,2,2.6,6.3,4.5,52202,7024,N,N,(X),(X),(X),(X),(X),(X),162,52,20.4,12.7,11.1,10.9,17.9,9.5,22.2,12.8,12.3,11.5,16,11.6,0,12.9,0,12.9,0,12.9,0,12.9,25500,14802,28760,6655,(X),(X),(X),(X),35.2,(X)
1400000US19003950200,"Census Tract 9502, Adams County, Iowa",1074,96,10.6,3.7,14.1,5.3,12.5,4,14.2,5.1,10.2,3.2,21.9,4.1,6.9,2.6,6.6,3.3,2.4,1.5,0.6,0.8,33661,5164,47414,5695,21.9,(X),(X),(X),(X),(X),583,60,7.7,4.3,3.6,3.3,7.7,4.3,13.2,7.1,14.2,5.4,28.6,6.3,9.9,4.1,9.9,5.7,4.5,2.8,0.5,1.2,54438,11311,58859,6522,(X),(X),19.6,(X),(X),(X),488,65,6.8,4.6,3.5,4,5.7,3.7,8.2,4.7,13.1,5.7,33.8,6.5,11.1,4.5,11.9,6.7,5.3,3.3,0.6,1.4,62755,4417,N,N,(X),(X),(X),(X),(X),(X),491,88,15.7,6.1,24.8,10.4,19.6,7.5,18.3,9.4,5.5,3.5,9.6,4.9,3.3,3.4,2.6,2.3,0,4.5,0.6,1,18505,2703,32144,9139,(X),(X),(X),(X),24.6,(X)
1400000US19005960100,"Census Tract 9601, Allamakee County, Iowa",855,101,6.1,3.2,7.1,3.5,10.8,4.9,13.1,5.4,23.5,7.6,16.8,5.6,15,7.1,5.6,3.6,0.8,1.3,1.2,1.8,43458,5171,51528,5906,25.5,(X),(X),(X),(X),(X),568,82,1.4,1.9,2.6,3.2,10.4,6.1,10,5.7,22.2,10.7,22,8,20.4,10.7,7.9,5.2,1.2,2,1.8,2.7,53409,11643,62072,8863,(X),(X),23.9,(X),(X),(X),497,82,1.6,2.1,0.6,0.9,9.5,6.2,8.9,6,24.9,11.6,20.3,7.9,21.7,11.9,9.1,6,1.4,2.3,2,3.1,55481,13705,N,N,(X),(X),(X),(X),(X),(X),287,78,15.3,8.8,16,8.5,11.5,7.8,19.2,9.9,26.1,11.3,7.7,5.7,4.2,4.8,0,7.5,0,7.5,0,7.5,28750,7716,29982,4281,(X),(X),(X),(X),28.6,(X)
1400000US19005960200,"Census Tract 9602, Allamakee County, Iowa",943,102,4.5,2.6,5.4,3.6,11.8,5.4,11.5,4.8,17,6.1,22.2,6.9,12.4,5.2,10.7,5.1,3.1,2.9,1.6,2.2,49931,8003,61081,7451,31.6,(X),(X),(X),(X),(X),659,86,0.5,0.8,1.5,2.3,12.6,6.8,14.7,6.5,12.6,5.6,24,8.7,17.5,7.3,12.1,6.5,2.3,2.8,2.3,3.2,56823,7720,66777,9699,(X),(X),30.2,(X),(X),(X),612,87,0,3.6,1.6,2.5,10.8,6.3,15.8,6.8,12.4,6,24.8,9.1,16.5,7.3,13.1,7,2.5,3.1,2.5,3.4,57188,9014,N,N,(X),(X),(X),(X),(X),(X),284,79,14.8,8.6,14.4,10.7,8.8,6.8,3.9,4.9,28.2,14.2,19,10.3,3.5,5.4,7.4,6.8,0,7.6,0,7.6,43846,14905,43262,9098,(X),(X),(X),(X),32.7,(X)
1400000US19005960300,"Census Tract 9603, Allamakee County, Iowa",1810,143,4.7,2.8,12.3,4.2,12.4,4.6,15.6,6.5,16,4.2,26,5.7,7.3,3.5,4.5,2.5,1.2,1.3,0,1.2,40595,8071,45221,3181,21.6,(X),(X),(X),(X),(X),1038,101,4.5,4,5.2,4.1,5.9,3.4,12.9,5.1,15.9,5.4,32.9,7.7,12.8,5.8,7.8,4.5,2,2.2,0,2.1,56439,8650,56350,5045,(X),(X),26.9,(X),(X),(X),821,108,1.3,2.1,1.3,2.3,3.3,3.2,10.6,6.1,15,5.8,40.8,9.5,15.2,6.6,9.9,5.5,2.6,2.8,0,2.7,62224,3395,N,N,(X),(X),(X),(X),(X),(X),772,140,8.8,5.8,19.2,6.8,22.5,9.9,19.7,12.1,17.4,7.5,12.4,7.7,0,2.9,0,2.9,0,2.9,0,2.9,24756,5399,28286,3460,(X),(X),(X),(X),14.5,(X)
1400000US19005960400,"Census Tract 9604, Allamakee County, Iowa",1000,81,2.7,2.7,2.5,1.9,5.7,2.9,19.1,6.4,21.1,6.7,29.5,6.9,16.5,6.2,2.5,2.5,0,2.2,0.4,0.6,47164,8339,51361,4753,16.5,(X),(X),(X),(X),(X),657,84,0,3.4,3.3,2.9,2.3,1.9,16.4,7,21.2,8,27.2,9.2,25.1,9,3.8,3.8,0,3.4,0.6,0.9,52734,6724,58437,5981,(X),(X),10.8,(X),(X),(X),615,86,0,3.6,2.1,2.1,2.4,2,16.7,7.5,20.2,8.1,29.1,9.8,24.7,9.2,4.1,4,0,3.6,0.7,1,53984,6447,N,N,(X),(X),(X),(X),(X),(X),343,98,7.9,7.4,3.5,4.1,12.2,7.5,23,12.5,20.4,12.8,32.9,13.7,0,6.3,0,6.3,0,6.3,0,6.3,35846,7767,37094,4694,(X),(X),(X),(X),27.4,(X)
1400000US19005960500,"Census Tract 9605, Allamakee County, Iowa",1199,113,4.4,3.7,0,1.9,17.3,5.4,9.7,5.2,15.1,5.1,29.4,6.9,11.8,6.1,9.6,5.1,1.3,1.5,1.3,2.1,51436,4011,58362,6624,28.1,(X),(X),(X),(X),(X),916,120,3.8,4.2,0,2.4,14.6,5,8.3,5.7,11.1,5,32.3,8.2,16,7.8,12,6.4,1.7,1.9,0,2.4,57500,7167,62121,6524,(X),(X),30.7,(X),(X),(X),813,111,1.8,2.9,0,2.7,13.2,5.4,4.6,3,11.1,5.8,36.4,9.1,17.5,8.9,13.5,7,2,2.2,0,2.7,61338,5344,N,N,(X),(X),(X),(X),(X),(X),283,88,13.4,12.4,0,7.6,18.7,14.1,19.1,12.8,27.2,14.2,15.9,14.3,0,7.6,0,7.6,0,7.6,5.7,8.8,34792,2832,41968,15496,(X),(X),(X),(X),12.7,(X)
1400000US19007950100,"Census Tract 9501, Appanoose County, Iowa",1168,81,7.1,2.3,10.3,3.4,18.3,4.4,10.8,3.4,17.3,4.2,22.9,4.8,6.5,2.2,4,1.6,0.7,0.9,2.1,1.5,37986,4474,47049,3821,31.8,(X),(X),(X),(X),(X),809,62,3,1.9,5.9,3.1,16.6,5.8,9.1,3.7,16.4,4.2,30.4,6.3,8.8,3.1,5.8,2.4,1,1.3,3,2.2,48229,5734,56852,5266,(X),(X),34.4,(X),(X),(X),661,57,1.2,1.7,1.5,1.2,14.2,5.4,8.9,3.8,19.2,5.1,32.7,6.8,10.3,3.7,7.1,3,1.2,1.5,3.6,2.7,51935,2602,N,N,(X),(X),(X),(X),(X),(X),359,64,21.7,7.4,17,8,20.9,6.4,14.5,7.8,18.9,9.1,6.1,4.4,0.8,1.4,0,6.1,0,6.1,0,6.1,19145,5903,24103,2864,(X),(X),(X),(X),26.2,(X)
1400000US19007950200,"Census Tract 9502, Appanoose County, Iowa",829,75,4.7,3,8.7,4.7,13.3,4.6,23,8.1,18.7,5.7,15.4,5.7,8,4.6,5.3,4.7,1.7,1.7,1.2,1.7,35179,3460,47264,6226,29.8,(X),(X),(X),(X),(X),563,65,2.5,2.5,4.3,4.2,14.9,5.5,20.2,9.2,18.8,7.5,18.7,7.9,10.7,6.5,5.7,6.5,2.5,2.4,1.8,2.5,38125,6744,53592,8590,(X),(X),33.6,(X),(X),(X),426,62,1.2,2,2.8,3.7,12.9,5.8,13.4,7.1,18.8,8.7,23.7,9.9,14.1,8,7.5,8.4,3.3,3.3,2.3,3.5,53125,13008,N,N,(X),(X),(X),(X),(X),(X),266,72,9.4,7.4,18,9.4,18.4,10.2,29.7,14.1,13.5,7.7,4.1,4.4,2.3,2.8,4.5,6.3,0,8.1,0,8.1,27292,5923,30228,5933,(X),(X),(X),(X),21.8,(X)
1400000US19007950300,"Census Tract 9503, Appanoose County, Iowa",1418,112,20.9,6.7,15,5.4,13.2,5.2,10.1,5.1,14.8,5.9,14,6,6.1,3.7,3.7,3.5,0,1.6,2,3.1,25857,10443,38911,8914,28.1,(X),(X),(X),(X),(X),761,100,10.2,8.9,3.9,3.7,10.2,7.7,17.9,9.3,22.6,9.9,18.5,8.3,11.4,6.7,5.1,5.5,0,2.9,0,2.9,38047,5946,45184,7908,(X),(X),32.9,(X),(X),(X),539,122,13,12.1,2,3.1,6.3,8.8,15.6,11.3,18,10.5,21.7,10.8,16.1,9.1,7.2,7.6,0,4.1,0,4.1,44375,20970,N,N,(X),(X),(X),(X),(X),(X),657,121,33.3,9.7,27.9,10.2,16.6,7.3,3.2,3.7,9.3,6.2,5.3,5.2,0,3.4,0,3.4,0,3.4,4.4,6.5,11969,1690,28567,16780,(X),(X),(X),(X),22.7,(X)
1400000US19007950400,"Census Tract 9504, Appanoose County, Iowa",1212,119,6.4,4.7,6,4.2,17.2,6.9,19.7,7.3,16.6,6.9,23.1,7.2,4,2.7,4.1,2.8,1.9,2.3,0.8,1.4,35343,6699,46207,6585,31.4,(X),(X),(X),(X),(X),718,80,0,3.1,8.1,7.1,13.1,6.8,15.3,9.1,15.3,7.2,31.2,10.6,6.8,4.6,7,4.8,3.2,3.9,0,3.1,47429,8616,53326,7414,(X),(X),37.6,(X),(X),(X),557,71,0,4,1.3,2.2,15.6,8.1,11,7.7,19.7,8.5,30.5,11.9,8.8,5.9,9,5.9,4.1,4.9,0,4,51607,7580,N,N,(X),(X),(X),(X),(X),(X),494,108,15.8,11,5.5,5.2,23.3,13.4,23.7,14.8,18.4,12.7,11.3,9.7,0,4.4,0,4.4,0,4.4,2,3.4,26500,5447,35203,14361,(X),(X),(X),(X),22.5,(X)
1400000US19007950500,"Census Tract 9505, Appanoose County, Iowa",946,78,6.4,3,10.5,4.8,17.4,5.6,9.2,3.6,25.8,7.8,17.8,6.4,3.6,2.2,6.2,4.4,1.7,2,1.4,1.5,36230,1412,51681,12322,31.7,(X),(X),(X),(X),(X),710,90,2.5,2.5,5.8,5.1,17.5,6.7,9.3,4.1,30.7,9.4,23.7,8.1,3.4,2.7,3.1,2.6,2.3,2.6,1.8,2,37087,5473,56346,14968,(X),(X),31.4,(X),(X),(X),560,84,2,2.6,0.7,1.3,12.3,6.6,11.1,5.1,31.3,9.9,29.8,9.4,3.8,3.4,3.9,3.2,2.9,3.3,2.3,2.6,44688,12676,N,N,(X),(X),(X),(X),(X),(X),236,67,18.2,9.9,24.6,11.7,19.9,9,8.9,6.3,14.8,9.9,1.7,2.1,2.5,2.8,9.3,12.2,0,9.1,0,9.1,17237,6516,31895,13526,(X),(X),(X),(X),32.6,(X)
1400000US19009070100,"Census Tract 701, Audubon County, Iowa",873,54,6,3.2,7.2,3.6,15.5,5.6,8,3.8,15.2,5.4,17.9,6.7,13.7,5.5,8.6,4,7,4,0.9,1.1,46938,14587,59118,6587,32.1,(X),(X),(X),(X),(X),587,71,3.4,3.5,5.8,4.3,6.3,3.9,5.6,4,13.6,5.9,24.7,8.9,19.8,8.3,12.8,5.6,6.6,4.7,1.4,1.7,68811,4099,70828,7183,(X),(X),30.7,(X),(X),(X),538,70,3.5,3.7,2.2,2.3,5.9,4,5.8,4.4,13.6,6.3,26.2,9.7,20.1,8.7,13.9,6,7.2,5,1.5,1.9,69808,5861,N,N,(X),(X),(X),(X),(X),(X),286,57,11.5,8.2,15.7,9.1,33.9,13.7,12.9,9,12.9,7.8,3.8,5,1.4,1.7,0,7.6,7.7,7.3,0,7.6,19211,4412,33434,10518,(X),(X),(X),(X),35,(X)
1400000US19009070200,"Census Tract 702, Audubon County, Iowa",1056,60,6.7,3.8,5.7,2.8,16.6,4.9,14.4,4.5,15.2,4.9,20.9,5.7,8.4,3.6,7.5,3.2,1.5,1.4,3.1,2.3,42578,9565,53310,5948,24,(X),(X),(X),(X),(X),612,62,2.3,2.7,1.6,2.8,17.2,6.3,14.2,5.4,15,5.8,25.5,7.4,9.2,4.8,10.3,5,1.8,2,2.9,2.6,49500,9057,60673,7649,(X),(X),21.9,(X),(X),(X),479,64,0,4.6,0,4.6,11.1,5.2,15.9,6.7,14.2,6.1,28,8.8,11.7,6.2,13.2,6.2,2.3,2.6,3.8,3.4,61411,6759,N,N,(X),(X),(X),(X),(X),(X),444,66,12.8,7.8,11.3,5.8,18.7,7.5,13.5,7.7,14.9,8.2,14.6,9.1,7.4,7,2.3,2.6,1.1,1.9,3.4,4,30900,8076,41887,9184,(X),(X),(X),(X),26.8,(X)
1400000US19009070300,"Census Tract 703, Audubon County, Iowa",771,83,5.4,2.5,10.8,4.8,15.2,3.8,10,4.5,21.1,6.3,17.6,4.8,10.9,5,5.7,3.4,1,1.5,2.2,1.9,39362,5688,53370,7421,23.9,(X),(X),(X),(X),(X),502,73,2.6,2.3,4.6,2.9,9.6,5,10.8,5,20.5,6.9,21.9,6.2,16.3,7.1,8.8,5.1,1.6,2.2,3.4,2.8,51786,11707,67833,10412,(X),(X),24.3,(X),(X),(X),457,65,0.4,1,4.4,2.8,9.4,5.4,11.2,5.5,17.5,6.6,24.1,6.8,17.9,7.8,9.6,5.5,1.8,2.5,3.7,3.1,59844,14695,N,N,(X),(X),(X),(X),(X),(X),269,59,12.6,6.4,22.3,11.8,23.8,9,8.6,6.6,22.3,10.8,9.7,5.8,0.7,1.1,0,8,0,8,0,8,21620,3412,26084,3659,(X),(X),(X),(X),23,(X)
1400000US19011960100,"Census Tract 9601, Benton County, Iowa",1138,68,0.3,0.4,0.3,0.5,9.1,5.6,16.3,5.4,9.2,3.4,18.4,4.3,22.7,4.3,20.1,5.7,3.4,2.7,0.2,0.4,68125,9043,72869,6013,21.5,(X),(X),(X),(X),(X),917,68,0,2.4,1.3,1.7,6.4,5,12,6.2,10.7,4.9,13.7,4.6,29.3,5.4,22.2,6.8,4.3,3.3,0,2.4,80938,8419,78418,7841,(X),(X),24.8,(X),(X),(X),808,73,0,2.7,0,2.7,3.2,2.9,11.6,6.9,10.4,4.6,15.6,5.1,30.7,5.9,25.2,7.1,3.2,2.8,0,2.7,83646,6409,N,N,(X),(X),(X),(X),(X),(X),221,66,1.4,2.1,1.4,2.4,20.4,19.6,34.4,17.1,7.7,5.7,27.6,12.5,0,9.7,6.3,7.4,0,9.7,0.9,1.8,32457,8561,45680,9631,(X),(X),(X),(X),8.1,(X)
1400000US19011960200,"Census Tract 9602, Benton County, Iowa",1253,64,5.3,2.5,2.9,1.6,13.2,3.5,8.5,2.7,10.5,3.3,31.5,5.1,15.6,4.7,9.2,3.9,2.6,1.9,0.6,0.9,56816,4361,60590,5069,24.3,(X),(X),(X),(X),(X),992,68,2.8,1.9,1.8,1.5,10.3,3.9,6.6,2.9,13.2,4.3,33.1,5.4,16.8,6,11.3,4.9,3.3,2.4,0.8,1.1,60635,4445,66718,6153,(X),(X),20.8,(X),(X),(X),842,72,1.1,1.4,0,2.6,11,4.6,7.4,3.4,10.5,3.2,34.2,6.3,17.8,7.1,13.2,5.7,3.9,2.8,1,1.3,61683,5089,N,N,(X),(X),(X),(X),(X),(X),261,61,14.6,8.2,6.9,5.4,24.1,10.5,16.5,6.6,6.1,4.6,23,10.3,7.7,7.3,1.1,1.7,0,8.3,0,8.3,27721,8044,35321,6039,(X),(X),(X),(X),34.5,(X)
